          *date       Overpass      wb_1st_00      wb_1st_01      wb_1st_05      wb_2nd_00      wb_2nd_01      wb_2nd_05     percent_cb           wwml          wwmax      max_wskew          wstar        wspd_cb   max_duration  mean_duration        num_cld     num_cld_30 min_ww_percent   LCL_mean_met      Hcb_vceil
       20120710           1900         1.0710         1.1740         1.6490         2.1840         2.1930         2.3890         9.4400         1.5450         2.2680         1.8969         2.8305         2.8800       335.0000       118.8462        13.0000         8.0000        77.2240         2.7410         2.2920
       20120712           1959         0.9180         1.0150         1.3870         1.5660         1.5740         1.7080        16.2400         1.7480         2.6040         2.0717         2.7624         0.9390       423.0000       116.0000        10.0000         9.0000        48.8342         3.1910         2.7120
       20120713           1940         1.0290         1.1290         1.4920         1.7120         1.7190         1.8390         6.6960         1.8580         3.1980         1.9204         2.5486         0.6610       471.0000       124.9286        14.0000        10.0000        48.2296         3.2010         2.7280
       20120716           1830         1.8570         1.9500         2.3510         3.1570         3.1600         3.2540         2.6720         1.6570         2.3220         1.9311         2.8211         0.5160        92.0000        38.2000         5.0000         2.0000        76.9521         2.5760         1.7800
       20120717           2100         1.3230         1.4160         1.7520         2.2990         2.3040         2.4060        10.5040         2.1150         3.0000         2.8855         2.9178           -NaN       204.0000        64.3333        12.0000         6.0000        53.6504         3.2470         2.6500
       20120718           1946         1.4520         1.5720         1.9950         2.7800         2.7860         2.9030        18.2530         2.3860         3.7560         2.5399         2.9747           -NaN       314.0000        80.8125        16.0000        12.0000        32.4621         3.4260         2.8080
       20120723           1952         1.9900         2.1360         2.6290         3.3090         3.3150         3.4050         8.1950         2.2160         2.7020         2.0123         3.0604         6.4870       162.0000        76.0000         8.0000         6.0000        22.0400         3.1660         2.5400
       20120724           2100         0.7060         0.8020         1.1530         1.2420         1.2510         1.4120        14.1420         1.6650         2.9200         1.2977         3.0153        12.1620       221.0000        65.8000        15.0000        11.0000        56.7205         3.1120         2.5560
       20120819           2000         1.1170         1.2120         1.5920         1.8880         1.8940         2.0130        17.9450         1.6260         2.2400         1.1887         2.4336         5.6360       203.0000        78.2778        18.0000        14.0000        92.4140         2.2330         1.7240
       20120821           1730         2.2200         2.3200         2.6350         3.1310         3.1340         3.1830         6.4200         1.3840         1.9940         1.6936         2.7854           -NaN       318.0000        65.8571         7.0000         2.0000        52.1903         2.4290         2.1680
       20120831           2200         1.2740         1.3820         1.7860         2.3060         2.3130         2.4280        10.8320         1.0190         1.5420         1.7198         2.1027           -NaN       215.0000        52.1765        17.0000         8.0000        72.0361         2.3530         1.8960
